t,p1,p2,h
5762.47002,-0.014,-0.00052,0.32976
5762.48002,0.00214,-0.00039,0.32976
5762.49001,-0.014,-0.00022,0.32975
5762.50001,0.00215,-0.00015,0.32976
5762.51001,-0.01378,-0.00023,0.32969
5762.52001,0.00253,-0.0003,0.3298
5762.53,-0.01354,-0.00018,0.32981
5762.54,0.00288,-2e-05,0.32981
5762.55,-0.01312,-9e-05,0.32972
5762.56,0.00285,-0.00023,0.32975
5762.56999,-0.01352,-0.00029,0.32978
5762.57999,0.0026,-0.0002,0.32986
5762.58999,-0.01335,-0.00011,0.32986
5762.59999,0.00292,-9e-05,0.3299
5762.60998,-0.0132,-0.00016,0.32985
5762.61998,0.00275,-0.00015,0.32986
5762.62998,-0.01344,-0.00024,0.32984
5762.63998,0.0029,-0.00029,0.32987
5762.64997,-0.01305,-0.00022,0.32976
5762.65997,0.00312,-0.00011,0.32977
5762.66997,-0.01315,-2e-05,0.32965
5762.67996,0.00274,-7e-05,0.32969
5762.68996,-0.0133,-0.00031,0.32974
5762.69996,0.00254,-0.00036,0.32986
5762.70996,-0.01348,-0.0002,0.3298
5762.71995,0.00291,-0.0001,0.32976
5762.72995,-0.01312,-0.00021,0.32969
5762.73995,0.00297,-0.00041,0.32977
5762.74995,-0.01292,-0.00016,0.32978
5762.75994,0.00336,-6e-05,0.32983
5762.76994,-0.01265,-0.00043,0.32977
5762.77994,0.00346,-0.00072,0.32983
5762.78994,-0.01313,-0.00057,0.32981
5762.79993,0.00268,-0.00037,0.32981
5762.80993,-0.01342,-0.0004,0.32975
5762.81993,0.00286,-0.00047,0.32989
5762.82993,-0.01315,-0.00038,0.32988
5762.83992,0.00292,-0.00019,0.32992
5762.84992,-0.01345,-0.00015,0.32988
5762.85992,0.00246,-0.00021,0.32987
5762.86992,-0.0138,-0.00022,0.32975
5762.87991,0.00234,-0.00029,0.32975
5762.88991,-0.01371,-0.00047,0.32976
5762.89991,0.00242,-0.00063,0.32979
5762.9099,-0.01377,-0.00071,0.32972
5762.9199,0.00218,-0.00071,0.3298
5762.9299,-0.01396,-0.00072,0.32984
5762.9399,0.00213,-0.0008,0.32991
5762.94989,-0.01406,-0.00079,0.32986
5762.95989,0.00224,-0.00074,0.32992
5762.96989,-0.01342,-0.00059,0.32993
5762.97989,0.00284,-0.00053,0.32994
5762.98988,-0.01362,-0.00071,0.32984
5762.99988,0.00231,-0.00076,0.32984
5763.00988,-0.01383,-0.00056,0.32981
5763.01988,0.00261,-0.00026,0.32981
5763.02987,-0.01317,-0.00027,0.32984
5763.03987,0.00286,-0.00044,0.32997
5763.04987,-0.01357,-0.00051,0.32991
5763.05987,0.00271,-0.00073,0.32991
5763.06986,-0.01305,-0.00086,0.32988
5763.07986,0.00306,-0.00078,0.32989
5763.08986,-0.01318,-0.00057,0.32989
5763.09986,0.00292,-0.00033,0.33003
5763.10985,-0.01347,-0.00027,0.33005
5763.11985,0.00245,-0.00023,0.33002
5763.12985,-0.01375,6e-05,0.32982
5763.13984,0.00243,0.00011,0.32973
5763.14984,-0.01353,0.0001,0.3297
5763.15984,0.0028,0.00018,0.32974
5763.16984,-0.01329,0.00015,0.3297
5763.17983,0.00281,0.00015,0.32977
5763.18983,-0.01347,0.00018,0.3298
5763.19983,0.00253,0.00021,0.32981
5763.20983,-0.01335,0.00019,0.32979
5763.21982,0.00331,5e-05,0.32983
5763.22982,-0.01278,-3e-05,0.32983
5763.23982,0.00325,-0.0001,0.32992
5763.24982,-0.01316,-0.00013,0.32983
5763.25981,0.00275,-9e-05,0.32985
5763.26981,-0.01335,4e-05,0.32977
5763.27981,0.00281,5e-05,0.32978
5763.28981,-0.01351,5e-05,0.32979
5763.2998,0.00257,0.00014,0.32985
5763.3098,-0.01347,6e-05,0.32986
5763.3198,0.00276,3e-05,0.32993
5763.3298,-0.01353,5e-05,0.32988
5763.33979,0.0025,-2e-05,0.32987
5763.34979,-0.01357,-0.00033,0.32975
5763.35979,0.00269,-0.00054,0.32981
5763.36979,-0.01349,-0.00042,0.32981
5763.37978,0.00261,-0.00048,0.32977
5763.38978,-0.01331,-0.00067,0.32966
5763.39978,0.00311,-0.00065,0.32972
5763.40977,-0.01307,-0.00054,0.3297
5763.41977,0.00303,-0.00043,0.32971
5763.42977,-0.01312,-0.00026,0.32972
5763.43977,0.0032,-0.00015,0.3298
5763.44976,-0.01302,-0.0002,0.32974
5763.45976,0.00288,-4e-05,0.32973
5763.46976,-0.01332,6e-05,0.3297
5763.47976,0.00284,-5e-05,0.32975
5763.48975,-0.01308,-0.00024,0.32969
5763.49975,0.00327,-0.00037,0.32973
5763.50975,-0.0129,-0.00032,0.32974
5763.51975,0.00315,-0.00022,0.32985
5763.52974,-0.01313,-0.0002,0.32987
5763.53974,0.00304,-0.0001,0.3299
5763.54974,-0.01303,-9e-05,0.32983
5763.55974,0.00306,-0.00029,0.32985
5763.56973,-0.01307,-0.00046,0.32993
5763.57973,0.00292,-0.00055,0.32997
5763.58973,-0.01338,-0.0005,0.3299
5763.59973,0.00279,-0.00048,0.33
5763.60972,-0.01337,-0.00037,0.33001
5763.61972,0.00293,-0.00033,0.32998
5763.62972,-0.01306,-0.00042,0.32993
5763.63971,0.0032,-0.00054,0.33002
5763.64971,-0.01291,-0.00055,0.32996
5763.65971,0.00338,-0.00035,0.32994
5763.66971,-0.01261,-0.00034,0.32992
5763.6797,0.00369,-0.00024,0.32992
5763.6897,-0.01236,-0.00017,0.32978
5763.6997,0.00359,-9e-05,0.32981
5763.7097,-0.01263,-6e-05,0.32979
5763.71969,0.00367,1e-05,0.32987
5763.72969,-0.01222,0.00023,0.32988
5763.73969,0.0039,0.00016,0.32993
5763.74969,-0.01247,-2e-05,0.3299
5763.75968,0.00345,-0.00016,0.32988
5763.76968,-0.01293,-0.00013,0.32979
5763.77968,0.00313,-0.00017,0.32983
5763.78968,-0.01287,-0.00032,0.32983
5763.79967,0.0034,-0.00042,0.32989
5763.80967,-0.01253,-0.00049,0.32988
5763.81967,0.00372,-0.00059,0.32997
5763.82967,-0.01264,-0.00068,0.32996
5763.83966,0.00344,-0.0006,0.32998
5763.84966,-0.0125,-0.00047,0.32992
5763.85966,0.00371,-0.0004,0.32995
5763.86965,-0.01251,-0.0004,0.32987
5763.87965,0.0038,-0.0004,0.32986
5763.88965,-0.01232,-0.00027,0.32981
5763.89965,0.00378,-0.0002,0.32981
5763.90964,-0.01232,-0.00017,0.32973
5763.91964,0.00387,-0.0002,0.32974
5763.92964,-0.01242,-0.00029,0.32966
5763.93964,0.00359,-0.00038,0.32976
5763.94963,-0.01266,-0.00018,0.32981
5763.95963,0.00346,-7e-05,0.32986
5763.96963,-0.01271,-8e-05,0.32976
5763.97963,0.00358,-0.0001,0.32979
5763.98962,-0.01252,-0.00022,0.32976
5763.99962,0.00356,-0.00027,0.32983
5764.00962,-0.0125,-0.0003,0.32983
5764.01962,0.0038,-0.00021,0.32985
5764.02961,-0.01237,3e-05,0.32979
5764.03961,0.00347,0.00015,0.32982
5764.04961,-0.01275,0.00018,0.3299
5764.05961,0.00333,0.00018,0.32998
5764.0696,-0.01288,0.00015,0.32991
5764.0796,0.00326,0.00018,0.32992
5764.0896,-0.01288,0.00031,0.32992
5764.0996,0.00313,0.00037,0.32989
5764.10959,-0.01318,0.00027,0.32979
5764.11959,0.00295,8e-05,0.32993
5764.12959,-0.01311,2e-05,0.33
5764.13958,0.00318,0.00013,0.33002
5764.14958,-0.01269,9e-05,0.3299
5764.15958,0.00362,7e-05,0.32989
5764.16958,-0.01266,1e-05,0.32985
5764.17957,0.00366,-5e-05,0.32989
5764.18957,-0.01219,-8e-05,0.32982
5764.19957,0.00399,-0.0002,0.32987
5764.20957,-0.01232,-0.00031,0.32993
5764.21956,0.0037,-0.00028,0.33002
5764.22956,-0.01252,-0.00033,0.32995
5764.23956,0.00375,-0.0004,0.32997
5764.24956,-0.0123,-0.0005,0.32992
5764.25955,0.00385,-0.00056,0.32997
5764.26955,-0.01243,-0.00063,0.32995
5764.27955,0.00344,-0.00058,0.33
5764.28955,-0.01291,-0.0004,0.32986
